iter	Passed	Remaining
465	739	847
466	740	844
467	740	842
468	741	840
469	742	837
470	744	836
471	745	834
472	747	832
473	748	830
474	749	828
475	750	825
476	751	823
477	752	821
478	753	819
479	754	816
480	755	814
481	755	812
482	756	810
483	757	807
484	759	806
485	760	804
486	761	802
487	762	800
488	763	798
489	764	796
490	765	794
491	766	791
492	767	789
493	769	787
494	770	785
495	770	783
496	771	781
497	772	779
498	776	779
499	777	777
500	778	775
501	779	773
502	780	771
503	781	769
504	782	767
505	783	765
506	784	762
507	785	760
508	786	758
509	787	756
510	788	754
511	789	752
512	790	750
513	791	748
514	792	746
515	793	744
516	794	742
517	795	740
518	796	738
519	797	736
520	798	734
521	799	732
522	800	730
523	801	728
524	802	726
525	803	724
526	805	722
527	809	723
528	811	722
529	813	720
530	814	719
531	815	717
532	816	715
533	817	713
534	818	711
535	819	709
536	821	708
537	822	706
538	823	703
539	823	701
540	824	699
541	825	697
542	826	695
543	827	693
544	828	691
545	829	689
546	830	687
547	831	685
548	831	683
549	832	681
550	834	680
551	836	678
552	837	677
553	838	675
554	841	674
555	842	673
556	843	671
557	844	669
558	845	667
559	846	665
560	847	663
561	848	661
562	849	659
563	851	658
564	852	656
565	853	654
566	854	652
567	855	650
568	856	648
569	857	646
570	858	645
571	859	643
572	860	641
573	861	639
574	862	637
575	863	635
576	864	633
577	870	635
578	871	633
579	872	631
580	873	629
581	874	627
582	874	625
583	876	624
584	877	622
585	877	620
586	879	618
587	880	616
588	881	615
589	882	613
590	884	611
591	885	610
592	886	608
593	887	606
594	888	605
595	889	603
596	890	601
597	892	599
598	892	597
599	897	598
600	898	596
601	899	594
602	900	592
603	901	591
604	902	589
605	903	587
606	904	585
607	905	584
608	906	582
609	907	580
610	908	578
611	910	577
612	911	575
613	912	573
614	914	572
615	915	570
616	916	568
617	917	567
618	918	565
619	919	563
620	920	561
621	921	560
622	922	558
623	924	557
624	926	555
625	927	554
626	929	552
627	930	551
628	931	549
629	933	548
630	934	546
631	935	544
632	936	542
633	937	541
634	939	539
635	941	538
636	942	536
637	943	535
638	944	533
639	945	531
640	946	529
641	947	528
642	948	526
643	948	524
644	950	522
645	951	521
646	951	519
647	952	517
648	954	516
649	956	514
650	957	513
651	958	511
652	960	510
653	961	508
654	962	506
655	963	504
656	963	503
657	964	501
658	965	499
659	966	497
660	967	496
661	968	494
662	969	492
663	971	491
664	972	489
665	973	488
666	974	486
667	975	484
668	976	482
669	977	481
670	978	479
671	978	477
672	979	476
673	980	474
674	981	472
675	982	470
676	984	469
677	986	468
678	988	467
679	989	465
680	990	463
681	991	462
682	992	460
683	993	458
684	993	457
685	994	455
686	995	453
687	996	451
688	997	450
689	998	448
690	1000	447
691	1001	445
692	1003	444
693	1004	442
694	1005	441
695	1006	439
696	1007	438
697	1008	436
698	1009	434
699	1011	433
700	1012	431
701	1013	430
702	1014	428
703	1016	427
704	1017	425
705	1019	424
706	1020	422
707	1022	421
708	1024	420
709	1025	418
710	1026	417
711	1027	415
712	1029	414
713	1030	412
714	1032	411
715	1033	409
716	1034	408
717	1035	406
718	1037	405
719	1038	403
720	1039	402
721	1039	400
722	1040	398
723	1041	397
724	1042	395
725	1054	397
726	1055	396
727	1056	394
728	1056	392
729	1057	391
730	1058	389
731	1060	388
732	1061	386
733	1062	384
734	1063	383
735	1064	381
736	1065	380
737	1066	378
738	1067	377
739	1068	375
740	1070	374
741	1071	372
742	1072	370
743	1074	369
744	1076	368
745	1078	367
746	1079	365
747	1083	364
748	1084	363
749	1085	361
750	1087	360
751	1088	359
752	1090	357
753	1091	356
754	1094	355
755	1096	353
756	1098	352
757	1099	350
758	1100	349
759	1102	348
760	1103	346
761	1106	345
762	1111	345
763	1114	344
764	1115	342
765	1117	341
766	1118	339
767	1121	338
768	1123	337
769	1124	335
770	1126	334
771	1127	333
772	1129	331
773	1130	330
774	1131	328
775	1132	326
776	1133	325
777	1135	323
778	1137	322
779	1141	321
780	1143	320
781	1145	319
782	1146	317
783	1147	316
784	1148	314
785	1150	313
786	1151	311
787	1152	310
788	1154	308
789	1156	307
790	1158	305
791	1159	304
792	1160	302
793	1161	301
794	1162	299
795	1164	298
796	1165	296
797	1167	295
798	1168	294
799	1170	292
800	1171	291
801	1172	289
802	1173	287
803	1175	286
804	1176	284
805	1177	283
806	1179	282
807	1180	280
808	1182	279
809	1183	277
810	1184	276
811	1185	274
812	1187	273
813	1188	271
814	1189	269
815	1190	268
816	1191	266
817	1193	265
818	1194	264
819	1196	262
820	1198	261
821	1199	259
822	1201	258
823	1202	256
824	1203	255
825	1204	253
826	1205	252
827	1206	250
828	1208	249
829	1209	247
830	1211	246
831	1212	244
832	1213	243
833	1214	241
834	1216	240
835	1217	238
836	1218	237
837	1219	235
838	1221	234
839	1226	233
840	1228	232
841	1229	230
842	1230	229
843	1232	227
844	1233	226
845	1234	224
846	1236	223
847	1238	222
848	1240	220
849	1241	219
850	1242	217
851	1243	215
852	1244	214
853	1245	212
854	1247	211
855	1248	210
856	1249	208
857	1250	206
858	1251	205
859	1252	203
860	1254	202
861	1257	201
862	1258	199
863	1259	198
864	1260	196
865	1261	195
866	1262	193
867	1264	192
868	1265	190
869	1266	189
870	1268	187
871	1269	186
872	1270	184
873	1272	183
874	1273	181
875	1274	180
876	1275	178
877	1277	177
878	1278	175
879	1279	174
880	1280	172
881	1281	171
882	1283	170
883	1286	168
884	1287	167
885	1288	165
886	1290	164
887	1291	162
888	1292	161
889	1293	159
890	1294	158
891	1295	156
892	1296	155
893	1298	153
894	1299	152
895	1300	150
896	1301	149
897	1302	147
898	1304	146
899	1305	145
900	1306	143
901	1308	142
902	1309	140
903	1310	139
904	1311	137
905	1312	136
906	1314	134
907	1315	133
908	1316	131
909	1318	130
910	1319	128
911	1320	127
912	1321	125
913	1322	124
914	1323	122
915	1324	121
916	1326	120
917	1327	118
918	1328	117
919	1330	115
920	1331	114
921	1332	112
922	1332	111
923	1333	109
924	1334	108
925	1336	106
926	1337	105
927	1338	103
928	1339	102
929	1339	100
930	1340	99
931	1343	97
932	1344	96
933	1347	95
934	1348	93
935	1349	92
936	1350	90
937	1351	89
938	1353	87
939	1353	86
940	1354	84
941	1355	83
942	1356	82
943	1358	80
944	1360	79
945	1361	77
946	1362	76
947	1363	74
948	1364	73
949	1365	71
950	1366	70
951	1367	68
952	1368	67
953	1369	66
954	1370	64
955	1371	63
956	1372	61
957	1374	60
958	1376	58
959	1377	57
960	1378	55
961	1380	54
962	1381	53
963	1382	51
964	1383	50
965	1384	48
966	1384	47
967	1385	45
968	1386	44
969	1388	42
970	1389	41
971	1390	40
972	1391	38
973	1392	37
974	1394	35
975	1395	34
976	1396	32
977	1397	31
978	1398	30
979	1399	28
980	1400	27
981	1401	25
982	1402	24
983	1403	22
984	1404	21
985	1406	19
986	1407	18
987	1408	17
988	1409	15
989	1410	14
990	1411	12
991	1412	11
992	1413	9
993	1414	8
994	1415	7
995	1415	5
996	1416	4
997	1418	2
998	1419	1
999	1420	0
